id,name,last_msg_id,lang,product_name,desc_len,tone,keywords,stop_words,prod_plus
920567149,Дарья,3370,rus,0,0,0,0,0,0
844471786,Полина,3374,rus,0,0,0,0,0,0
1175878436,Юлия,10301,rus,куртка женская из искусственного меха,big_paragraph,assertive_tone,"куртка женская , оверсайз, а, и, к, с, верхняя одежда осень, что, чтобы, это, демисезонная, верхняяодежда для беременных ,куртка о версайз демисезонная, весна, befree,",пуговица,"воротник стойка, мягкая , рукава с манжетоми, накладные карманы, молния"
862357563,Петр,5609,rus,Аромадиффузор,big_paragraph,optimistic_tone,Автоматический,Малыш,45 дней работы без подзарядки
587669655,Mikus,4177,rus,Кошелек женский маленький,middle_paragraph,neutral_tone,Кошелек женский маленький,0,0
124460602,Евгений,4183,rus,0,0,0,0,0,0
5120742964,Екатерина,6475,rus,0,0,0,0,0,0
945310977,Галина,6452,rus,0,0,0,0,0,0
661991247,Дарья,6455,rus,0,0,0,0,0,0
5514547349,Ирина,3247,rus,0,0,0,0,0,0
817621180,Кристина Егиазарян,3425,rus,Купальник,middle_paragraph,optimistic_tone,Черный утягивающиц,0,0
1093742552,Екатерина,818,rus,Маска для сна 3D,middle_paragraph,neutral_tone,Масках для сна повязка для сна ночная маска,Большая,Комфортный сон гипоаллергенный материал блокировка света эффект памяти дышащий материал эластичный ремешок унисекс
2036637966,Галина Морозова | Менеджер,4221,rus,0,0,0,0,0,0
1894986229,Марина,4223,rus,0,0,0,0,0,0
844885080,Юлия,7340,rus,Сарафан женский офисный,big_paragraph,neutral_tone,"трикотажный сарафан женский офисный деловой
сарафан женский офисный стильный
сарафан офисный черный
женские сарафаны больших размеров
сарафан женский больших размеров
сарафаны женские больших размеров
платье сарафан женское
сарафан женский длинный
сарафан женский офисный большие размеры
сарафан трикотажный
сарафан женский трикотажный
сарафан женский большие размеры
сарафан для офиса женский
сарафан женский офисный черный
сарафан офисный длинный
сарафан женский миди
сарафан женский офис
сарафаны женские офисные стильные
сарафан женский большой размер
платья, сарафаны
сарафан черный женский офисный","джинсовый, школьный, домашний, хлопок","стрейч, тянется, держит форму, не образует катышек, костюмная ткань"
1396836850,Irina,7092,rus,0,0,0,0,0,0
757201853,Юлия Иванова,3269,rus,0,0,0,0,0,0
249658321,Vladimir,5994,rus,Елочная игрушка из стекла ручной работы,big_paragraph,neutral_tone,"игрушки
новогодние
елку
елочные
украшения
год
новый
набор
шары
стекло
декор
под
дракон
подарок
шарики
мороз
дед
винтаж
подарочный
стеклянные
декорации
символ
2024
маленькие
ретро
домик
декоративные
шаров
фигурка
елочка
большие
красные
фонарик
праздника
золотые
синие
гном
шишки
снегурочка
щелкунчик
сосульки
розовые
окно
изба
дом
прозрачные
белый
ручной
лучший
фигура
Подарок
Атмосфера
Уют",Гелевый,/start
46775596,Ivan,7346,rus,0,0,0,0,0,0
454478919,noklohhuk,3249,rus,Подставка для мобильного телефона,big_paragraph,neutral_tone,Подставка для телефона,Планшет,Компактная
1423193381,Людмила,3255,rus,0,0,0,0,0,0
500871828,Полина,7361,rus,Халат женский домашний теплый с капюшоном,middle_paragraph,neutral_tone,"Халат
Велсофт
Как махровый 
Wellsoft 
Мягкий
Легкий
Хорошо впитывает воду 
Быстро сохнет 
С запахом 
С поясом 
Боковые карманы
Для любой фигуры 
Длинные рукава
Длинный халат
Халатик 
Домашняя одежда 
Для женщин 
Подарок 
Подарочная упаковка 
На любой праздник 
Для мамы
Бабушки 
Сестры 
Ворс
Пушистый 
Душ
Сауна
СПА
Баня","Мужской 
Молния 
Замок","Отлично впитывает воду
Быстро сохнет 
Легкий
Не мнется
Не вытягивается со временем 
Не требует особого ухода 
Разных размеров 
Большой капюшон"
422650784,Андрей,3395,rus,0,0,0,0,0,0
1011165999,Мариша,9312,rus,Ветеринарный защитный воротник для животных,big_paragraph,neutral_tone,"воротник, кошка,собака, шея,защитный,чесать, медицинский, животное, ветеринарный, кот, крупный, порода, липучка",-,"послеоперационный, груминг"
362488451,Ekaterina,9338,rus,0,0,0,0,0,0
852873066,Катерина,3398,rus,https://www.wildberries.ru/catalog/174860247/detail.aspx,middle_paragraph,neutral_tone,0,0,0
900313545,Анастасия,3419,rus,Блуза-кимоно,middle_paragraph,neutral_tone,Красота комфорт,Детская,Салится на любую фигуру
439781854,LS,3423,rus,0,0,0,0,0,0
799562421,Хадижа Юсупова 🍁,5935,rus,ВОДОСТОЙКАЯ ТУШЬ ДЛЯ РЕСНИЦ O.TWO.O,middle_paragraph,neutral_tone,"ВОДОСТОЙКАЯ ТУШЬ ДЛЯ РЕСНИЦ, ПРИДАНИЯ ОБЪЕМА И ЗАВИВКИ.
эффект накладных ресниц,без комочков. Черная тушь для ресниц, не осыпается, не склеивает ресницы, удлиняет, разделяет и дает объем, 
Без комочков, не осыпается в течение дня, тушь держится стойко на весь день.
Тушь равномерно прокрасит,и разделит каждую ресничку, по всей длине, прокрасит даже самые маленькие ресницы, предотвращая образования комочков и склеивания, силиконовая  слегка изогнутая форма щетки, подкрутить и удлинить каждую ресничку, идеальное разделение,
Самая лучшая тушь, для дневного и вечернего макияжа, черного цвета объемная, удлиняющая, подкручивающая, стойкая, разделяющая. 
Водостойкая структура, не растекается во время дождя и физических нагрузок, Тушь держится на ресницах в течение 24 часов, не осыпается и не размазывается, легко смывается теплой водой с помощью
•очищающего средства для лица, или средством для снятия макияжа, смывается комками и не оставляет под глазами эффекта панды.",5 D,"Водостойкая, не осыпается, не склеивает ресницы, разделяет каждую ресничку, стойкая тушь, удлиняет и придает объем, смывается комками и не оставляет под глазами эффекта панды."
71882728,Ирина,4232,rus,0,0,0,0,0,0
887558564,Nita,4239,rus,0,0,0,0,0,0
641208313,Tanya,5215,rus,0,0,0,0,0,0
6068921723,Екатерина,6064,rus,Трусики для девочек,short_paragraph,friendly_tone,Трусы для девочек набор трусики детские,"Стринги, для младенцев, женщинан, девушкам","Хлопок, плоские швы, не натирают"
890855131,Светлана,5499,rus,Свитшот женский базовый тёплый,big_paragraph,friendly_tone,"свитшот
женский
оверсайз
толстовка
кофта
лонгслив
одежда
теплая
худи
начесом
женщин
хлопок
беременных
весна
длинная
однотонный
осень
домашняя
кофточка
трикотаж
дома
размеров
утепленный
спортивная
2023
джемпер
oversize
больших
удлиненный
вещи
трикотажная
длинный
футер
базовая
весну
оверсайс
одно
девушка
спортзал
стиль
большие
спортивный
большой
спине
футер
размер
осенние
молодежная
цветами
однотонная
необычная
женщинам
фигура
стильная
свободного
кроя
хлопка
спортзала
утепления
базовый
домашний
повседневный
бренд
весенняя
горловиной
необычный
стильный
россия
одежды
полных
трикотажный
большая
однотон
зимний
стильные
необычные
весенний
скидки
хлопковое
взрослый
домашние
объемный
широкой
российский
свободная
спортом
подруг
демисезон
хлопковый
подросткам
молодежный
трикотажные
весна-осень
свитеры
плотный
зима
улицы
изделия
плотная
стилем
уличная
цвета","Школа, школьный","Повседневная капсула, базовый гардероб"
753916775,Гульназ,5540,rus,0,0,0,0,0,0
743707123,Оксана,5397,rus,0,0,0,0,0,0
221698072,Маргарита,10857,rus,набор столовых приборов 18 предметов с золотым рисунком,middle_paragraph,friendly_tone,"подарок
набор
посуда
столовые
стол
подарочный
сервировки
приборы
кухни
ложка
принадлежности
кухонные
вилки
чайный
предметов
сервиз
персон
красивая
стали
нержавеющей
комплект
товары
18
новоселье
под
украшения
сервировочная
еды
суповые
дома
металлическая
нержавейка
супа
серебряная
десертные
ручкой
обеденный
маленькие
круглые
семьи
серебрянная
стильная
полировка
завтрака
утварь
подарить
инвентарь
пренадлежности
дом
штук
праздничная
золото
золотые
рисунком
напыление","нож, ржавчина, зазубрины","высококачественная нержавеющая сталь, золотое напыление, рисунок"
5724969311,Техник MpHelp,5219,rus,ав,short_paragraph,neutral_tone,0,0,0
1008414563,Sergey,6061,rus,Заготовки для поделок елка деревянная,middle_paragraph,friendly_tone,"поделка, новогодняя, заготовка, игрушка, набор, садик, детей, дерева",нету,"Шлифованная фанера , гладка с обоих сторон"
