CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2020-06-25 09:27:10.3192192,C:\Windows\system32\Tasks\Microsoft\Windows\UPnP\UPnPHostConfig,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\UPnP\UPnPHostConfig,2328,836F45EC89F5D5A5FACEA4E5A62A17127C2EFEC1,False,2020-06-10 02:03:49.7387605,2020-06-10 02:03:49.7387605,2020-06-09 18:43:46.0306260,00:00:00.0155359
2020-06-25 09:27:10.3816845,C:\Windows\system32\Tasks\Microsoft\Windows\USB\Usb-Notifications,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\USB\Usb-Notifications,3496,C0B4007B9316D71A5F6EEDD2FFA5B1B89084DF36,False,2020-06-10 02:03:51.6927327,2020-06-10 02:03:51.6927327,2020-06-09 18:43:46.0623633,00:00:00.0310372
2020-06-25 09:27:10.4129601,C:\Windows\system32\Tasks\Microsoft\Windows\User Profile Service\HiveUploadTask,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\User Profile Service\HiveUploadTask,3650,8D95E2A05143DD3E944A62F1EFB70729DEB68A5A,False,2020-06-10 02:03:49.1137008,2020-06-10 02:03:49.1137008,2020-06-09 18:43:46.0932513,00:00:00.0156583
2020-06-25 09:27:10.4757024,C:\Windows\system32\Tasks\Microsoft\Windows\WaaSMedic\PerformRemediation,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\WaaSMedic\PerformRemediation,3134,71C5A87C7CA962388A4D190D52E1973B7F562651,False,2020-06-10 02:03:46.9731666,2020-06-18 10:01:37.4667929,2020-06-18 10:01:37.4667929,00:00:00.0158428
2020-06-25 09:27:10.5223582,C:\Windows\system32\Tasks\Microsoft\Windows\WCM\WiFiTask,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\WCM\WiFiTask,2922,1C3624AFEB9EBA43B2FDF66870C765151FD5EAE7,False,2020-06-10 02:03:47.7551114,2020-06-10 02:03:47.7885158,2020-06-09 18:43:46.1556551,00:00:00.0311524
2020-06-25 09:27:10.5691782,C:\Windows\system32\Tasks\Microsoft\Windows\WDI\ResolutionHost,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\WDI\ResolutionHost,2892,DC08B78F8C1C43C2CC1DE469A5DCA8D3E2AC33CA,False,2020-06-10 02:03:49.3486097,2020-06-10 02:03:49.3486097,2020-06-09 18:43:46.2183961,00:00:00.0154853
2020-06-25 09:27:10.6320310,C:\Windows\system32\Tasks\Microsoft\Windows\Windows Defender\Windows Defender Cache Maintenance,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\Windows Defender\Windows Defender Cache Maintenance,3814,F4FCFE8EABDEA852DC1E25CCF716EF54A5A775C3,False,2020-06-10 02:03:49.5357370,2020-06-15 10:37:21.4569762,2020-06-15 10:37:21.4569762,00:00:00.0159795
2020-06-25 09:27:10.6631514,C:\Windows\system32\Tasks\Microsoft\Windows\Windows Defender\Windows Defender Cleanup,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\Windows Defender\Windows Defender Cleanup,3768,828D42D8B1DA971EFBE690C9A9CAFCA0061CBB26,False,2020-06-10 02:03:52.0668986,2020-06-15 10:37:21.4882942,2020-06-15 10:37:21.4882942,00:00:00.0154240
2020-06-25 09:27:10.6789116,C:\Windows\system32\Tasks\Microsoft\Windows\Windows Defender\Windows Defender Scheduled Scan,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\Windows Defender\Windows Defender Scheduled Scan,3784,BB5818DD788E6375DFF95CB35098F10EC842F61E,False,2020-06-10 02:03:49.2864189,2020-06-15 10:37:21.5038770,2020-06-15 10:37:21.5038770,00:00:00.0157602
2020-06-25 09:27:10.7099430,C:\Windows\system32\Tasks\Microsoft\Windows\Windows Defender\Windows Defender Verification,\\192.168.3.129\kape\collection\C\Windows\system32\Tasks\Microsoft\Windows\Windows Defender\Windows Defender Verification,3798,82F6928C29075F920A074B2CE5AD7521DDBC4180,False,2020-06-10 02:03:52.1927346,2020-06-15 10:37:21.4278857,2020-06-15 10:37:21.4278857,00:00:00.0150937
